Case Number,Title,Settlement Amount,Date,Link
Case No. 6:20-cv-00163,"Walmart, Inc. to Pay $20 Million to Settle EEOC Nationwide Hiring Discrimination Case",$20,09-10-2020,https://www.eeoc.gov/newsroom/walmart-inc-pay-20-million-settle-eeoc-nationwide-hiring-discrimination-case
Case No. 2:20-cv-10662,"Covenant Healthcare Will Pay $104,707 to Settle EEOC Wage Discrimination Lawsuit","$104,707",09-04-2020,https://www.eeoc.gov/newsroom/covenant-healthcare-will-pay-104707-settle-eeoc-wage-discrimination-lawsuit
Case No. 5:19-cv-07574,Air Systems Inc. to Pay $1.25 Million to Settle EEOC Racial Harassment Suit,$1.25,08-21-2020,https://www.eeoc.gov/newsroom/air-systems-inc-pay-125-million-settle-eeoc-racial-harassment-suit
Case No. 2:19-cv-00740,"Multi-South Management Services to Pay $42,500 to Settle EEOC Pregnancy Discrimination and Disability Lawsuit","$42,500",08-19-2020,https://www.eeoc.gov/newsroom/multi-south-management-services-pay-42500-settle-eeoc-pregnancy-discrimination-and
Case No. 1:18-cv-2227,"Sol Mexican Grill, LLC And Sol Mexican Grill Two, LLC to Pay $50,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$50,000",08-18-2020,https://www.eeoc.gov/newsroom/sol-mexican-grill-llc-and-sol-mexican-grill-two-llc-pay-50000-settle-eeoc-sexual
Case No. 5:19-cv-00402,"Sactacular Holdings to Pay $35,000 to Settle EEOC Sex Discrimination Lawsuit","$35,000",08-13-2020,https://www.eeoc.gov/newsroom/sactacular-holdings-pay-35000-settle-eeoc-sex-discrimination-lawsuit
Case No. 2:20-cv-04021,"Doubletree Hotel to Pay $45,000 and Change Policies and Procedures to Settle Sexual Harassment Lawsuit","$45,000",08-05-2020,https://www.eeoc.gov/newsroom/doubletree-hotel-pay-45000-and-change-policies-and-procedures-settle-sexual-harassment
Case No. 5:19-cv-06878,"Guidewire Software to Pay $200,000 to Settle EEOC Disability Discrimination Lawsuit","$200,000",07-28-2020,https://www.eeoc.gov/newsroom/guidewire-software-pay-200000-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:19-cv-00341,"Par Ventures, McDonald’s Franchisee, to Pay $12,500 to Settle EEOC Sexual Harassment Lawsuit","$12,500",07-17-2020,https://www.eeoc.gov/newsroom/par-ventures-mcdonalds-franchisee-pay-12500-settle-eeoc-sexual-harassment-lawsuit
Case No. 3:17-cv-02624,"CBS Broadcast Affiliate in Texas to Pay $215,000 to Settle EEOC Age Suit for Female Reporter","$215,000",07-13-2020,https://www.eeoc.gov/newsroom/cbs-broadcast-affiliate-texas-pay-215000-settle-eeoc-age-suit-female-reporter
Case No. 3:19-cv-00227,"ASICS America Corporation to Pay $49,650 to Settle EEOC Disability Discrimination Lawsuit","$49,650",07-06-2020,https://www.eeoc.gov/newsroom/asics-america-corporation-pay-49650-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:19-cv-00203,"George W. Morosani and Associates to Pay $11,000 to Settle EEOC Retaliation Suit","$11,000",06-29-2020,https://www.eeoc.gov/newsroom/george-w-morosani-and-associates-pay-11000-settle-eeoc-retaliation-suit
Case No. 1:20-cv-03683,"Most Valuable Personnel and MVP Workforce to Pay $568,500 To Settle EEOC Race and Sex Discrimination Suit","$568,500",06-29-2020,https://www.eeoc.gov/newsroom/most-valuable-personnel-and-mvp-workforce-pay-568500-settle-eeoc-race-and-sex
Case No. 1:19-cv-00804,"Capital City Dental Care to Pay $100,000 To Settle EEOC Age Discrimination Suit","$100,000",06-23-2020,https://www.eeoc.gov/newsroom/capital-city-dental-care-pay-100000-settle-eeoc-age-discrimination-suit
Case No. 1:19-cv-04614,"GRK Fresh Greek to Pay $32,000 to Settle Sexual Harassment Suit","$32,000",06-12-2020,https://www.eeoc.gov/newsroom/grk-fresh-greek-pay-32000-settle-sexual-harassment-suit
Case No. 2:20-cv-03131,Jet Propulsion Laboratory to Pay $10 Million to Settle EEOC Age Discrimination Lawsuit,$10,06-11-2020,https://www.eeoc.gov/newsroom/jet-propulsion-laboratory-pay-10-million-settle-eeoc-age-discrimination-lawsuit
Case No. 3:18-cv-00852,"Albertsons to Pay $210,000 to Settle EEOC National Origin Discrimination Lawsuit","$210,000",06-02-2020,https://www.eeoc.gov/newsroom/albertsons-pay-210000-settle-eeoc-national-origin-discrimination-lawsuit
Case No. 5:19-cv-00894,"Black Forest Décor to Pay $55,000 to Settle EEOC Disability Discrimination Suit","$55,000",06-01-2020,https://www.eeoc.gov/newsroom/black-forest-decor-pay-55000-settle-eeoc-disability-discrimination-suit
Case No. 8:19-cv-02100,"Medtronic to Pay $75,000 to Settle EEOC Disability Discrimination Lawsuit","$75,000",05-27-2020,https://www.eeoc.gov/newsroom/medtronic-pay-75000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:20-cv-00993,"Brookdale Senior Living Communities to Pay $80,000 to Settle EEOC Retaliation Suit","$80,000",05-22-2020,https://www.eeoc.gov/newsroom/brookdale-senior-living-communities-pay-80000-settle-eeoc-retaliation-suit
Case No. 1:19-cv-00764,"Christus St. Vincent Regional Medical Center to Pay $98,000 to Settle EEOC Disability and Retaliation Suit","$98,000",05-20-2020,https://www.eeoc.gov/newsroom/christus-st-vincent-regional-medical-center-pay-98000-settle-eeoc-disability-and
Case No. 3:17-cv-757,"Faurecia Madison Automobile Seating, Inc. to Pay $825,000 to Settle EEOC Disability Discrimination Lawsuit","$825,000",05-13-2020,https://www.eeoc.gov/newsroom/faurecia-madison-automobile-seating-inc-pay-825000-settle-eeoc-disability-discrimination
Case No. 5:16-cv-01347,"Wayne Farms to Pay $175,000 to Settle EEOC Lawsuit for Disability Discrimination","$175,000",05-04-2020,https://www.eeoc.gov/newsroom/wayne-farms-pay-175000-settle-eeoc-lawsuit-disability-discrimination
Case No. 3:19-cv-2304,"Enlivant / Assisted Living Concepts to Pay $66,000 to Settle EEOC Disability Accommodation Suit","$66,000",04-28-2020,https://www.eeoc.gov/newsroom/enlivant-assisted-living-concepts-pay-66000-settle-eeoc-disability-accommodation-suit
